time[s],wave[m],surge[m],sway[m],heave[m],roll[deg],pitch[deg],yaw[deg]
26.713,0.033115,1.338806,1.309297,0.33938,0.122297,-2.452399,-0.216301
26.792,-0.083364,1.33028,1.314792,0.259526,0.114014,-2.442437,-0.187645
26.871,-0.199778,1.320723,1.319267,0.179471,0.105642,-2.430581,-0.158843
26.95,-0.316037,1.310141,1.322719,0.099277,0.097188,-2.41684,-0.129918
27.029,-0.432051,1.298543,1.325146,0.019006,0.088659,-2.401225,-0.100893
27.108,-0.54773,1.285938,1.326544,-0.06128,0.080061,-2.383747,-0.071789
27.187,-0.662985,1.272336,1.326914,-0.141518,0.071401,-2.364421,-0.04263
27.267,-0.779173,1.257556,1.32624,-0.22266,0.062575,-2.342982,-0.013067
27.346,-0.893302,1.241979,1.32454,-0.302614,0.053811,-2.319982,0.016136
27.425,-1.006738,1.22544,1.321812,-0.382333,0.045005,-2.295182,0.045326
27.504,-1.119394,1.207949,1.318059,-0.461756,0.036163,-2.268603,0.074481
27.583,-1.231181,1.189522,1.313284,-0.540821,0.027294,-2.240265,0.103579
27.662,-1.342013,1.170173,1.30749,-0.619466,0.018404,-2.210189,0.132596
27.741,-1.451805,1.149916,1.300683,-0.697631,0.009499,-2.178399,0.16151
27.82,-1.56047,1.128767,1.292866,-0.775255,0.000587,-2.14492,0.190299
27.9,-1.669278,1.106459,1.283929,-0.853249,-0.008438,-2.109322,0.219302
27.979,-1.775423,1.083566,1.274102,-0.929602,-0.017344,-2.072522,0.247772
28.058,-1.880191,1.059832,1.263287,-1.005234,-0.026236,-2.034116,0.276049
28.137,-1.983502,1.035277,1.251492,-1.080086,-0.035108,-1.994131,0.304112
