time series,wave[m],ship_speed_kn,surge[m],sway[m],heave[m],roll[deg],pitch[deg],yaw[deg]
38.091,0.071492,2,-0.000118,-0.000302,0.000347,0.001843,-0.001012,-0.000474
38.264,0.148712,2,-0.000151,-0.00023,0.000244,0.000718,0.000038,-0.000366
38.453,0.147444,2,-0.000151,0.000058,0.000185,-0.000964,0.001279,0.000089
38.625,0.073587,2,-0.000119,0.000426,0.000084,-0.002168,0.001982,0.000661
38.798,-0.059869,2,-0.000067,0.000643,-0.000201,-0.002642,0.001857,0.001002
38.987,-0.046562,2,-0.000004,0.000499,-0.000617,-0.002103,0.001056,0.000792
39.16,-0.073011,2,0.000047,0.000147,-0.000912,-0.000832,0.000143,0.000242
39.348,0.000748,2,0.000087,-0.000155,-0.001046,0.000701,-0.000838,-0.000241
39.537,-0.066288,2,0.000111,-0.000286,-0.000942,0.001726,-0.001505,-0.000451
39.71,-0.049264,2,0.000116,-0.000379,-0.000654,0.001999,-0.001582,-0.000609
39.882,-0.069748,2,0.000104,-0.000461,-0.000291,0.001688,-0.001274,-0.000748
40.055,-0.000376,2,0.000078,-0.000399,0.000048,0.001029,-0.000866,-0.000627
40.228,0.06478,2,0.000048,-0.000135,0.000302,0.000333,-0.000501,-0.000179
40.417,0.002316,2,0.00002,0.00022,0.000475,-0.000436,-0.000023,0.000385
40.574,0.019884,2,0,0.000406,0.000608,-0.001219,0.000707,0.000668
40.778,0.105305,2,-0.000024,0.000446,0.000873,-0.002086,0.002197,0.00071
40.967,0.009704,2,-0.000039,0.000348,0.001024,-0.001959,0.003214,0.000518
41.139,-0.051248,2,-0.000046,0.00018,0.000728,-0.000928,0.002565,0.000237
41.312,-0.05353,2,-0.000054,-0.000045,-0.00006,0.000429,0.000121,-0.000096
41.501,-0.019021,2,-0.000065,-0.000284,-0.000946,0.001523,-0.00289,-0.000457
41.658,0.139689,2,-0.00007,-0.000406,-0.001164,0.001819,-0.003841,-0.000662
41.847,0.014951,2,-0.000062,-0.000393,-0.000755,0.00151,-0.002784,-0.000638
42.019,-0.149696,2,-0.000053,-0.000217,-0.000266,0.000914,-0.001403,-0.000329
42.177,-0.109536,2,-0.000052,0,0.000025,0.000323,-0.000744,0.00003
42.365,0.118307,2,-0.000054,0.000134,0.000364,-0.000302,-0.00003,0.000243
